單字,中文定義,星級,難度等級,分類,詞性,【詞性變化】,搭配詞,例句
increment,增長；增加；（薪資等）調升,3,進階,辦公日常,"noun, verb","noun: increment, increments
verb: increment, increments, incrementing, incremented","annual increment 年度加薪
salary increment 薪資漲幅","The company is offering a 5% salary increment for outstanding employees.
公司為表現優異的員工提供 5% 的薪資調升。"
incremental,漸增的；遞增的；增量的,3,進階,一般專業,adjective,"adverb: incrementally
noun: increment",,"The company prefers an incremental approach to product development, releasing small updates frequently.
該公司偏好循序漸進的產品開發方式，頻繁發布小型更新。"
incrementally,逐步地；漸進式地,3,進階,營運管理,adverb,adverb: incrementally,implement a policy incrementally 逐步實施政策,"The company plans to increase production incrementally over the next quarter.
公司計劃在下個季度逐步提高生產量。"
incumbent,現任者；現職人員（通常指在某職位上的人）,2,進階,人力資源,noun,"noun: incumbent, incumbents","recumbent 斜躺的
incumbency 任期","The incumbent CEO has led the company to record profits.
現任執行長帶領公司創下紀錄性利潤。"
incur,招致（負擔、費用、損失等）；產生（義務、責任等）,3,進階,金融與會計,verb,"verb: incur, incurs, incurring, incurred",,"The company incurred significant losses due to the unexpected market downturn.
由於意料之外的市場低迷，公司產生了可觀的損失。"
incurred,產生（費用、損失、責任等），招致,3,進階,金融與會計,verb,"verb: incurred, incurs, incurring",costs incurred 已產生的費用,"The company incurred significant losses due to the unexpected market downturn.
由於意料之外的市場低迷，公司產生了相當大的損失。"
indecisive,優柔寡斷的；難以決定的,3,進階,辦公日常,adjective,"adjective: indecisive, more indecisive, most indecisive","indecisive about something 對某事優柔寡斷
remain indecisive 保持遲疑不決的狀態","The manager found the employee's indecisive nature a hindrance to project completion.
經理發現這位員工的優柔寡斷阻礙了專案的完成。"
indeed,的確；確實；果真,4,中階,辦公日常,adverb,adverb: indeed,,"The project was completed ahead of schedule, indeed a remarkable achievement.
這個專案提前完成，的確是一項卓越的成就。"
indefinitely,無限期地；未確定地；沒有截止日期地,3,中階,辦公日常,adverb,adverb: indefinitely,"postponed indefinitely 無限期延後
closed indefinitely 無限期關閉","The project has been postponed indefinitely due to unforeseen circumstances.
由於突發狀況，專案已無限期延遲。"
independence,獨立自主性；不受他人控制的能力或狀態,4,中階,人力資源,noun,"noun: independence, independences",independence from the parent company 脫離母公司而獨立,"The company values employees who demonstrate initiative and independence in their roles.
公司重視在工作中展現主動性和獨立性的員工。"
independent,獨立的；自主的；不依賴的,4,中階,辦公日常,adjective,"adjective: independent, more independent, most independent","independent contractor 獨立約聘人員
independent audit 獨立審計","The company encourages employees to work independently and take initiative.
公司鼓勵員工獨立工作並積極主動。"
independently,獨立地；自主地；不相關地,4,中階,辦公日常,adverb,"adverb: independently
adjective: independent
noun: independence",,"She works independently and is very good at managing her own tasks.
她獨立工作，非常擅長管理自己的任務。"
indestructible,不可摧毀的；堅不可摧的,2,進階,營運管理,adjective,"adjective: indestructible, more indestructible, most indestructible",,"The company invested heavily in indestructible packaging to prevent damage during shipping.
公司投入大量資金於不可摧毀的包裝材料，以防止運輸過程中的損壞。"
index,索引；指標；指數；將…編入索引；使…與指數掛鉤,4,中階,金融與會計,"noun, verb","noun: indexes, indices
verb: indexes, indexed, indexing",,"The consumer price index is an important economic indicator.
消費者物價指數是重要的經濟指標。"
india,印度，一個位於南亞的國家，在國際貿易和商業活動中經常被提及。,1,入門,旅遊與交通,"noun, adjective","noun: india, Indias
adjective: india, more Indian, most Indian","expansion into the Indian market 進軍印度市場
Indian subsidiary 印度子公司","Our company is exploring new markets, with India being a key target for expansion.
我們公司正在探索新市場，印度是我們擴張計劃中的關鍵目標。"
indian,源自印度或與印度相關的；印度人（複數）。在商務情境中，通常指來自印度的員工或客戶。,1,入門,人力資源,"adjective, noun","adjective: indian, more indian, most indian
noun: indian, Indians",,"The company is actively seeking Indian engineers with expertise in AI.
公司正在積極尋找在 AI 領域具有專業知識的印度工程師。"
indicate,指示；表明；顯示；指出,5,基礎,辦公日常,verb,"verb: indicate, indicates, indicating, indicated","indicate a preference 表示偏好
indicate interest 表示感興趣","The report indicates a significant increase in sales this quarter.
這份報告顯示本季銷售額大幅增加。"
indicated,指示；表明；顯示,4,中階,辦公日常,verb,"verb: indicated, indicates, indicating",,"The report indicated a significant increase in sales during the holiday season.
報告顯示，在假日期間銷售額顯著增加。"
indicates,指示；顯示；表明,5,基礎,辦公日常,verb,"verb: indicates, indicating, indicated","imply 暗示
the indicated price 標示的價格","The report indicates a significant increase in sales this quarter.
這份報告顯示本季銷售額顯著增加。"
indicating,指示；表明；顯示,4,中階,溝通互動,"verb, adjective","verb: indicating, indicates, indicated
adjective: indicating, more indicating, most indicating","arrows indicating 指示方向的箭頭
Data indicating a steady increase in demand 數據顯示需求穩定成長","The rising sales figures indicate a successful marketing campaign.
銷售額的上升表明了一項成功的行銷活動。"
indication,跡象；暗示；指徵（通常指某種情況或趨勢的暗示）,4,中階,營運管理,noun,"noun: indication, indications",an indication of a shift in consumer behavior 消費者行為改變的跡象,"The rising sales figures are a clear indication of the product's success.
銷售額的上升是產品成功的明確跡象。"
indicative,指示性的；暗示性的；表明的,3,進階,辦公日常,adjective,"adjective: indicative, more indicative, most indicative",,"The company's rising profits are indicative of a successful marketing campaign.
公司的利潤上升表明了一項成功的行銷活動。"
indicator,指示器,4,中階,營運管理,noun,noun: indicator,,"The company's new indicator initiative exceeded expectations in the first quarter.
公司的新indicator計畫在第一季度超出了預期。"
indifference,漠不關心，冷淡，無感,3,進階,溝通互動,noun,"noun: indifference
adjective: indifferent
adverb: indifferently",consumer indifference 消費者反應冷淡,"His indifference to the team's struggles was quite apparent.
他對團隊困境的漠不關心顯而易見。"
indifferent,漠不關心；不感興趣；無所謂,3,進階,溝通互動,adjective,"adjective: indifferent, more indifferent, most indifferent",,"The manager was indifferent to the employees' concerns about the new policy.
經理對員工對新政策的擔憂漠不關心。"
indigenous,原住民的；土著的；（指某地區）原有的,2,進階,人力資源,adjective,"adjective: indigenous, more indigenous, most indigenous","indigenous people 原住民
indigenous culture 本土文化","The company is committed to respecting the indigenous communities and their traditional knowledge.
公司致力於尊重原住民社群及其傳統知識。"
indirect,間接的；不直接的；不坦率的；迂迴的,4,中階,溝通互動,adjective,"adjective: indirect, more indirect, most indirect
adverb: indirectly
noun: indirectness","indirect impact 間接影響
indirect 間接的","The company prefers direct communication, but sometimes an indirect approach is necessary.
公司偏好直接溝通，但有時間接的方法是必要的。"
indirectly,間接地，婉轉地；不直接地,4,中階,溝通互動,adverb,adverb: indirectly,"affect indirectly 間接影響
benefit indirectly 間接獲益","She indirectly suggested that he should apply for the promotion.
她間接地暗示他應該申請晉升。"
individual,指獨立的個體、個人，或單獨的實體。,5,基礎,辦公日常,"noun, adjective","noun: individual, individuals
adjective: individual, more individual, most individual",,"Each individual is responsible for completing their assigned tasks by the deadline.
每位員工都應在截止日期前完成其指派的任務。"
individually,個別地；單獨地,4,中階,辦公日常,"adverb, adjective, noun","adverb: individually
adjective: individual
noun: individual, individuals","packaged individually 獨立包裝
sold individually 單獨販售","Each member of the team is responsible for completing their tasks individually.
團隊中的每個成員都需單獨負責完成自己的任務。"
individuals,個體；個人（通常指一群人中獨立存在的單位）,5,基礎,人力資源,noun,noun: individuals,"qualified individuals 具備資格的人士
talented individuals 優秀人才","The company is conducting a survey to gather feedback from its employees, focusing on individual needs and concerns.
公司正在進行一項調查，以收集員工的回饋，重點關注個人的需求和顧慮。"
indoor,室內；在建築物內,4,基礎,辦公日常,adjective,"adjective: indoor, more indoor, most indoor",,"The company is planning to move its headquarters to a larger indoor facility.
公司計畫將總部搬遷至更大的室內設施。"
induce,促使；引起；引發（某種情況或行為）,2,進階,營運管理,verb,"verb: induce, induces, inducing, induced","induce someone to do something 誘使某人做某事
induce growth 引發增長","The company's aggressive marketing campaign induced a significant increase in sales.
該公司的積極營銷活動促使銷售額顯著增加。"
induction,新進員工培訓；就職；引入；歸納,3,進階,人力資源,noun,"noun: induction, inductions","induction training 入職培訓
induction program 入職引導計畫","All new employees must complete the two-day induction program.
所有新進員工都必須完成為期兩天的新進培訓課程。"
indulge,放縱；滿足（需求或慾望），尤其是不顧後果,2,進階,營運管理,verb,"verb: indulge, indulges, indulging, indulged",,"The company can't indulge in unnecessary expenses during a period of financial uncertainty.
在財務不確定的時期，公司不能放縱不必要的開支。"
industrial,與工業相關的；工業上的,4,中階,營運管理,adjective,"adjective: industrial, more industrial, most industrial",,"The company is investing heavily in new industrial equipment to improve efficiency.
該公司正在大量投資新的工業設備以提高效率。"
industrialization,工業化；產業化,3,進階,一般專業,noun,"noun: industrialization, industrializations
verb: industrialize, industrializes, industrialized, industrializing
adjective: industrial
noun: industry, industries","rapid industrialization 快速工業化
the process of industrialization 工業化進程","The rapid industrialization of the country led to significant economic growth.
該國的快速工業化帶來了顯著的經濟成長。"
industrialize,使工業化；使產業化；工業發展,3,進階,營運管理,verb,"verb: industrialize, industrializes, industrializing, industrialized",,"Many developing countries are trying to industrialize rapidly to improve their economies.
許多發展中國家正試圖快速工業化以改善其經濟。"
industries,產業；工業部門,5,基礎,營運管理,noun,noun: industries,"service industries 服務業
manufacturing industries 製造業","The company is investing heavily in research and development to stay competitive in the technology industries.
為了在科技產業中保持競爭力，公司正在大力投資於研發。"
industry,產業；工業；事業,5,基礎,營運管理,noun,"noun: industry, industries","service industry 服務業
manufacturing industry 製造業","The automotive industry is facing significant challenges due to the rise of electric vehicles.
由於電動汽車的興起，汽車產業正面臨重大挑戰。"
ineffective,無效的；不起作用的；無能力的,4,中階,辦公日常,adjective,"adjective: ineffective
adverb: ineffectively
noun: ineffectiveness","ineffective leadership 領導無方
ineffective communication 溝通無效","The current security measures are proving to be ineffective against the new types of cyber threats.
目前的資安措施對於新型態的網路威脅而言，證明是無效的。"
inefficiency,無效率；效率低落；無效,3,進階,營運管理,noun,"noun: inefficiency, inefficiencies",,"The new system aims to eliminate inefficiencies in the production process.
新系統旨在消除生產過程中的無效率問題。"
inefficient,效率低的；無效率的；無能的,4,中階,營運管理,adjective,"adverb: inefficiently
noun: inefficiency","inefficient process 無效率的流程
inefficient use of resources 資源利用效率低下","The old production line was highly inefficient, leading to wasted resources.
舊的生產線效率極低，導致資源浪費。"
inequality,不平等；不均等；差異,3,進階,一般專業,noun,noun: inequalities,,"The government is trying to address economic inequality in the country.
政府正努力解決該國的經濟不平等問題。"
inevitable,不可避免的；難以避免的,3,中階,營運管理,adjective,"adjective: inevitable, more inevitable, most inevitable","inevitable consequence 必然的後果
inevitable delay 不可避免的延誤","Due to the global supply chain disruptions, delays in delivery are inevitable.
由於全球供應鏈中斷，延遲交貨是不可避免的。"
inevitably,不可避免地；必然地,4,進階,一般專業,adverb,"adverb: inevitably
adjective: inevitable
noun: inevitability","Inevitably lead to higher costs 必然導致更高成本
The delay will inevitably affect the product launch date 延遲必然會影響產品發表日期","Increased automation will inevitably lead to job displacement in some sectors.
自動化程度的提高將不可避免地導致某些行業的失業。"
inexpensive,價格低廉的；經濟實惠的,5,基礎,採購與物流,adjective,"adjective: inexpensive, cheaper, cheapest",,"We're looking for an inexpensive supplier of office supplies to reduce costs.
我們正在尋找一家價格低廉的辦公用品供應商以降低成本。"
inexperience,缺乏經驗；無經驗,3,中階,一般專業,noun,noun: inexperience,,"His inexperience in managing large teams was evident during the project.
他在管理大型團隊方面的缺乏經驗在專案期間顯而易見。"
inexperienced,缺乏經驗的；未經訓練的,4,中階,人力資源,adjective,"adjective: inexperienced, less inexperienced, least inexperienced","need for training 需要培訓
supervision 需要監督","The company offers a training program for inexperienced employees to improve their skills.
公司提供一項訓練計畫，以提升缺乏經驗的員工的技能。"
inexplicably,無法合理解釋地；莫名其妙地,2,進階,辦公日常,adverb,adverb: inexplicably,"inexplicably delayed 莫名延誤
inexplicably absent 無故缺席","The project was delayed inexplicably, despite the team's best efforts.
儘管團隊竭盡全力，專案卻莫名其妙地延遲了。"
infant,嬰兒，幼兒；未成年人，未成年犯,3,中階,一般專業,"noun, adjective","noun: infant, infants
adjective: infant",,"The infant slept soundly in the crib.
嬰兒在嬰兒床裡睡得很熟。"
infect,傳染；感染（疾病或病毒）,3,中階,人力資源,verb,"verb: infect, infects, infecting, infected","be infected with a virus 感染病毒
respiratory infection 呼吸道感染","The company temporarily closed the office after an employee tested positive for the virus, to prevent further infection.
為了防止進一步感染，公司在一名員工檢測出病毒陽性後暫時關閉了辦公室。"
infected,感染；受污染（尤指疾病或有害物質）,3,中階,人力資源,"adjective, verb","adjective: infected, more infected, most infected
verb: infected, infects, infecting","infected file 受感染的檔案
infected system 受感染的系統","The company temporarily closed the office after several employees were infected with the flu.
在幾名員工感染流感後，公司暫時關閉了辦公室。"
infecting,感染；傳染；影響（負面影響）,3,中階,營運管理,verb,"verb: infecting, infects, infected",security breach 安全漏洞,"The virus is infecting the company's operations, leading to significant delays.
病毒正在影響公司的營運，導致了嚴重的延遲。"
infection,感染；傳染病,3,中階,人力資源,noun,"noun: infection, infections","prevent an infection 預防感染
risk of infection 感染風險","The company implemented stricter hygiene protocols to prevent the spread of infection in the workplace.
公司實施更嚴格的衛生協議，以防止工作場所的感染傳播。"
infectious,具傳染性的; 有感染力的; 易傳染的,3,進階,一般專業,adjective,"adjective: infectious, more infectious, most infectious
adverb: infectiously
noun: infection, infectiousness
verb: infect, infects, infecting, infected",,"The doctor explained that the disease was highly infectious.
醫生解釋說這種疾病具有高度傳染性。"
infects,感染；傳染,3,中階,科技與技術支援,verb,"verb: infects, infecting, infected",,"The company temporarily closed the office after several employees were infected with the flu.
在多名員工感染流感後，公司暫時關閉了辦公室。"
infer,根據已知的資訊或線索，推斷或判斷出未明示的事物。,4,中階,溝通互動,verb,"verb: infer, infers, inferring, inferred",,"Based on the sales report, the manager inferred that the new marketing campaign was successful.
根據銷售報告，經理推斷新的行銷活動是成功的。"
inference,推論；推斷；推理,4,中階,一般專業,noun,"noun: inference, inferences
verb: infer, infers, inferred, inferring
adjective: inferential",,"Scientists draw inferences from their observations and data analysis.
科學家從他們的觀察和數據分析中得出推論。"
inferior,品質或程度低於標準或期望；不如其他,3,中階,辦公日常,"adjective, adverb","adjective: inferior, less inferior, least inferior
adverb: inferior","inferior quality 品質低劣
inferior workmanship 工藝粗糙","The company decided to replace the inferior components with higher-quality ones to improve product reliability.
為了提高產品可靠性，公司決定將劣質零件更換為更高品質的零件。"
inferred,從間接的線索或暗示中推斷或判斷；根據已知的資訊做出合理的假設。,3,中階,辦公日常,verb,"verb: inferred, infers, inferring","infer 從證據中推論
imply 含蓄地表達","Based on the employee's performance review, the manager inferred that additional training was needed.
根據員工的績效評估，經理推斷需要額外的培訓。"
infinite,無限的；無邊的；極大的,3,進階,一般專業,adjective,"adjective: infinite
adverb: infinitely
noun: infinity","infinite patience 無限的耐心
infinite variety 多變性","The universe is often described as infinite, extending without end.
宇宙常被描述為無限的，沒有盡頭地延伸。"
infinity,無限; 無窮; 無窮遠; 無限大,2,精熟,一般專業,noun,"noun: infinity, infinities",,"The concept of infinity is difficult for many to grasp.
無限的概念對許多人來說很難理解。"
inflammation,發炎；炎症,2,進階,一般專業,noun,"noun: inflammation, inflammations",,"The doctor prescribed medication to reduce the inflammation in her knee.
醫生開藥以減輕她膝蓋的發炎症狀。"
inflate,（使）膨脹；充氣；擴大（體積或數量）,3,進階,營運管理,verb,"verb: inflate, inflates, inflating, inflated","inflate tires 幫輪胎充氣
inflate prices 抬高價格","The company decided to inflate the prices of their products due to rising raw material costs.
由於原材料成本上升，公司決定提高其產品的價格。"
inflation,通貨膨脹，指物價普遍上漲的經濟現象，導致貨幣購買力下降。,4,中階,金融與會計,noun,"noun: inflation, inflations","inflation rate 通貨膨脹率
skyrocketing inflation 飆升的通膨","The company is closely monitoring inflation rates to adjust pricing strategies.
公司正密切關注通貨膨脹率，以調整定價策略。"
inflationary,通貨膨脹的；引起通貨膨脹的,3,進階,金融與會計,adjective,"noun: inflation
verb: inflate, inflated, inflating","inflationary pressure 通膨壓力
inflationary spiral 通膨螺旋","The central bank is taking measures to curb inflationary pressures.
中央銀行正在採取措施以抑制通貨膨脹壓力。"
inflict,造成（某人或某物）遭受痛苦、損失或傷害；施加（負面影響）,2,進階,營運管理,verb,"verb: inflict, inflicts, inflicting, inflicted",,"The company's poor management inflicted significant financial losses on its shareholders.
公司不良的管理對股東造成了巨大的財務損失。"
inflow,(資金、貨物等的) 流入；流入量,3,中階,金融與會計,noun,noun: inflows,inflow of complaints 投訴湧入,"The country is experiencing a huge inflow of foreign capital.
該國正經歷大量外國資本的流入。"
influence,影響力；左右；支配力；左右（某人或某事）,5,基礎,辦公日常,"noun, verb","noun: influence, influences
verb: influence, influences, influencing, influenced","have a significant influence on the market 對市場有重大影響
influential 有影響力的","The company's reputation significantly influences its ability to attract new clients.
公司的聲譽對其吸引新客戶的能力產生重大影響。"
influenced,受到…影響；使…受到影響,4,基礎,辦公日常,verb,"verb: influenced, influences, influencing",,"The company's marketing strategy was heavily influenced by current market trends.
該公司的行銷策略深受目前市場趨勢的影響。"
influential,有影響力；有權勢；對他人或事物產生重大影響。,4,中階,行銷與銷售,adjective,"adjective: influential, more influential, most influential","highly influential 極具影響力的
influential figure 影響力人物","The company's CEO is a highly influential figure in the industry.
該公司的執行長是業界極具影響力的人物。"
influenza,流行性感冒；流感（一種由病毒引起的傳染病）,2,進階,人力資源,noun,"noun: influenza, influenzae",,"Due to a widespread outbreak of influenza, the company is encouraging employees to work from home.
由於流行性感冒的大規模爆發，公司鼓勵員工在家工作。"
info,資訊；資料（通常指簡潔、易於獲取的資訊）,5,基礎,辦公日常,noun,"noun: info, infos","for more info 欲知詳情
contact info 聯絡資訊","Could you please forward me the latest sales info?
您能將最新的銷售資訊轉發給我嗎？"
infographic,資訊圖表；以視覺化方式呈現數據和資訊的圖表，通常用於簡潔明瞭地傳達複雜訊息。,3,中階,行銷與銷售,noun,"noun: infographic, infographics",present data in an infographic 以資訊圖表呈現數據,"The marketing team created an infographic to showcase the company's sales growth over the past year.
行銷團隊製作了一個資訊圖表，以展示公司過去一年的銷售增長。"
infomercial,一種結合廣告和資訊節目形式的商業節目，通常在電視上播放，旨在推銷產品或服務。,2,進階,行銷與銷售,noun,"noun: infomercial, infomercials","information 資訊
commercial 廣告","The company invested heavily in an infomercial to boost sales of their new kitchen appliance.
該公司投入大量資金製作一個資訊廣告節目，以提高其新款廚房電器的銷售額。"
inform,通知；告知；傳達資訊,5,基礎,辦公日常,verb,"verb: inform, informs, informing, informed",,"The manager will inform the team about the upcoming changes to the company policy.
經理將會通知團隊即將變更的公司政策。"
informal,非正式的；不拘謹的，通常指語言、服裝或行為方式。,4,基礎,溝通互動,adjective,"adjective: informal, more informal, most informal",,"Let's keep the meeting informal; we can just grab coffee and discuss the project.
我們讓會議保持非正式，我們可以只是喝杯咖啡討論這個專案。"
informant,情報提供者；線人（通常指向警方或調查機構提供資訊的人）,2,進階,採購與物流,noun,"noun: informant, informants",,"The company hired an informant to gather intelligence on its competitors.
該公司聘用了一名情報提供者，以收集有關競爭對手的情報。"
information,資料、資訊；告知、通知,5,入門,辦公日常,noun,"noun: information, informations",,"Please send me all relevant information regarding the upcoming project.
請將所有關於即將開始的專案的相關資訊寄給我。"
informative,提供有價值的資訊，使人獲得知識或了解。,4,中階,辦公日常,adjective,"adjective: informative, more informative, most informative","informative presentation 具啟發性的簡報
informative session 資訊充實的環節","The report provided informative data on market trends.
這份報告提供了關於市場趨勢的有價值的數據。"
informed,知情的；充分了解的,4,中階,辦公日常,adjective,"adjective: informed, more informed, most informed",keep someone informed 隨時告知某人最新進展,"Before making a decision, ensure you are fully informed about the project's risks and benefits.
在做出決定之前，請確保您已充分了解專案的風險和收益。"
infrastructure,基礎設施：指支持經濟活動和社會發展的基礎設施，例如交通、能源、通訊和水利系統。,3,中階,營運管理,noun,"noun: infrastructure, infrastructures","infrastructure development 基礎建設發展
aging infrastructure 老化的基礎設施","The company is investing heavily in upgrading its infrastructure to meet growing demand.
公司正在大力投資於基礎設施升級，以滿足不斷增長的需求。"
infringement,侵權行為；違反（權利、條款等）,2,進階,法務合規與安全,noun,"noun: infringement, infringements",,"The company is facing a lawsuit for copyright infringement.
該公司正因版權侵權而面臨訴訟。"
infuriate,激怒；使非常憤怒（通常指因不公平或令人不滿的情況）,2,進階,溝通互動,verb,"verb: infuriate, infuriates, infuriating, infuriated",absolutely infuriating 極度令人發火,"The constant delays in the project infuriated the stakeholders.
專案持續不斷的延遲激怒了所有利害關係人。"
infusion,注入；（醫學上）靜脈輸液,2,進階,旅遊與交通,"noun, verb","noun: infusion, infusions
verb: infusion, infuses, infusing, infused",,"The hospital provides intravenous infusions of antibiotics to combat infections.
醫院提供靜脈注射抗生素輸液以對抗感染。"
ing,進行中，正在進行,1,入門,辦公日常,"adjective, verb","verb: ing, is ing, inged",,"The project is currently ing a critical phase of development.
這個專案目前正處於開發的一個關鍵階段。"
ingest,攝取；吸收（尤指資訊、數據或食物）,2,進階,科技與技術支援,verb,"verb: ingests, ingested, ingesting","ingest nutrients 攝取營養
ingest a substance 攝入物質","The new software can ingest data from multiple file formats.
這款新軟體可以吸收多種檔案格式的數據。"
ingestion,攝取; 攝入; (數據)導入,2,進階,科技與技術支援,noun,"noun: ingestion
verb: ingest, ingests, ingesting, ingested","accidental ingestion 意外攝入
risk of ingestion 攝入風險","The accidental ingestion of poisonous berries can be fatal.
意外攝入有毒漿果可能是致命的。"
ingredient,成分；原料（尤指用於烹飪或製造的）,4,中階,住宿與餐飲,noun,"noun: ingredient, ingredients","natural ingredients 天然成分
active ingredient 活性成分","The chef carefully selected high-quality ingredients for the new menu.
主廚小心挑選了高品質的食材，用於新菜單。"
ingredients,原料；成分（尤指食物或產品的組成部分）,4,基礎,採購與物流,noun,noun: ingredients,,"The supplier needs to provide a complete list of ingredients for the new product.
供應商需要為新產品提供完整的原料清單。"
inhabit,居住；佔用（空間、區域）,2,進階,營運管理,verb,"verb: inhabit, inhabits, inhabiting, inhabited","densely inhabited area 人口稠密的地區
uninhabited 無人居住的","The company plans to inhabit a new office building downtown next quarter.
公司計劃下個季度佔用市中心的新辦公大樓。"
inhabitant,居民；居住者（指居住在某地的人）,2,進階,營運管理,noun,"noun: inhabitant, inhabitants","local inhabitants 當地居民
urban inhabitants 城市居民","The new apartment complex aims to attract young professionals as its primary inhabitants.
這棟新公寓的目標是吸引年輕專業人士作為主要的居民。"
inhalation,吸入；吸入劑,2,進階,一般專業,noun,"noun: inhalation, inhalations","smoke inhalation 吸入濃煙
accidental inhalation 意外吸入","The doctor prescribed an inhalation for his asthma.
醫生為他的氣喘開了吸入劑。"
inhale,吸入；將空氣或氣體吸進體內,2,進階,營運管理,verb,"verb: inhale, inhales, inhaling, inhaled","inhale deeply 深呼吸
inhale toxic fumes 吸入有毒煙霧","The factory's ventilation system is designed to ensure workers inhale clean air.
該工廠的通風系統旨在確保工人吸入乾淨的空氣。"
inherent,內在的；固有的；與生俱來的,3,進階,一般專業,adjective,"adjective: inherent
adverb: inherently",,"There are inherent risks in any business venture.
任何商業投資都存在固有的風險。"
inherently,本質上；天生具有的；內在的,3,進階,辦公日常,adverb,adverb: inherently,,"The company's commitment to sustainability is inherently linked to its core values.
公司對永續發展的承諾與其核心價值觀內在連結。"
inherit,繼承（財產、職位、責任等）；承受,3,進階,金融與會計,verb,"verb: inherit, inherits, inheriting, inherited","inherit a fortune 繼承財產
inherit a set of challenges 接手一系列挑戰","After his father's passing, Mr. Lee inherited the family business.
在他父親過世後，李先生繼承了家裡的公司。"
inhibit,阻礙；抑制；妨礙,3,進階,營運管理,verb,"verb: inhibit, inhibits, inhibiting, inhibited","inhibit growth 阻礙成長
inhibit progress 妨礙進度","The new regulations may inhibit the company's ability to expand into new markets.
新的法規可能會阻礙公司擴展到新市場的能力。"
inhibition,抑制；阻礙；約束,3,進階,一般專業,noun,"noun: inhibition, inhibitions
verb: inhibit, inhibits, inhibited, inhibiting
adjective: inhibited, inhibitory",,"She showed no inhibition in expressing her opinions during the meeting.
她在會議中表達自己的意見時毫無顧忌。"
initial,最初的；起始的；（文件）簽名或在角落寫上首字母以示確認,4,中階,辦公日常,"noun, verb, adjective","noun: initial, initials
verb: initial, initials, initialing, initialed
adjective: initial","initial investment 最初投資
initial findings 初步調查結果","Please initial each page of the contract to confirm receipt.
請在合約的每一頁簽上首字母以確認已收到。"
initially,最初地；一開始地,4,中階,辦公日常,adverb,adverb: initially,"initially planned 最初計畫
initially proposed 最初提議","Initially, the project was scheduled to be completed in six months.
一開始，這個專案的預計完成時間是六個月。"
initiate,開始；發起；啟動,4,中階,辦公日常,verb,"verb: initiate, initiates, initiating, initiated",,"The project manager will initiate the new marketing campaign next week.
專案經理將會在下週開始新的行銷活動。"
initiation,開始，發起，啟動；（特定活動、流程的）首次實施；（加入組織或團體的）入會儀式，入門,3,中階,營運管理,noun,"noun: initiation, initiations
verb: initiate, initiates, initiating, initiated
noun: initiator, initiators",initiation fee 入會費,"The initiation of the new project faced some unexpected delays.
新專案的啟動遇到了一些意想不到的延誤。"
initiative,倡議；主動,4,中階,一般專業,adjective,adjective: initiative,"show initiative 展現積極性
a marketing initiative 行銷企劃","The department implemented innovative initiative procedures to improve operational efficiency.
部門實施創新的initiative程序以提高營運效率。"
inject,（藥物、液體等）注入；（資訊、想法等）引入,3,進階,科技與技術支援,verb,"verb: inject, injects, injecting, injected","inject capital into 注入資金
inject funds into 注資","The IT department needs to inject new security protocols into the system to prevent data breaches.
IT部門需要將新的安全協議注入系統，以防止資料外洩。"
injection,注射；注入,3,進階,人力資源,"noun, verb","noun: injection, injections
verb: injection, injects, injecting, injected",,"The company requires all employees to receive a flu injection annually to maintain a healthy work environment.
為了維持健康的工作環境，公司要求所有員工每年都接受流感疫苗注射。"
injections,注射；（醫療）接種,2,進階,人力資源,noun,noun: injections,,"The company provides annual flu injections for all employees to ensure a healthy workforce.
為了確保員工健康，公司為所有員工提供年度流感疫苗注射。"
injure,造成傷害；受傷,4,基礎,人力資源,verb,"verb: injure, injures, injuring, injured","seriously injured 嚴重受傷
slightly injured 輕微受傷","The employee injured his back while lifting heavy boxes during the inventory process.
在盤點過程中，員工在搬運重物時受傷。"
injured,受傷的；因傷而導致身體受損的,4,基礎,人力資源,adjective,"adjective: injured, more injured, most injured",,"The employee was injured in a workplace accident and is currently on medical leave.
這位員工在工作場所發生意外受傷，目前正在休病假。"
injuries,傷害、損傷（尤指身體上的）；損害,4,中階,人力資源,noun,noun: injuries,"personal injury claim 人身傷害索賠
safety protocols 安全規範","The company is providing medical assistance to employees who sustained injuries during the factory accident.
公司正在為工廠事故中受傷的員工提供醫療協助。"
injury,傷害、損傷，尤指身體上的受傷，或因事故、意外造成的損失。,4,基礎,人力資源,noun,"noun: injury, injuries",,"The company is providing compensation for the employee's work-related injury.
公司正在為員工因工作受到的傷害提供賠償。"
ink,墨水；用墨水寫/畫/弄髒；簽訂（合約等）,4,基礎,辦公日常,"noun, verb","noun: inks
verb: inks, inked, inking","ink cartridge 墨水匣
sign in ink 用筆簽名","The printer is running low on ink.
印表機的墨水快用完了。"
inn,客棧；旅店（通常指規模較小、具有傳統風格的住宿場所）,3,基礎,住宿與餐飲,noun,"noun: inn, inns","country inn 鄉村客棧
historic inn 歷史悠久的客棧","The business travelers preferred the quaint inn to the large, impersonal hotel.
這些商務旅客更喜歡這家風格獨特的客棧，而不是大型、缺乏人情味的飯店。"
innate,與生俱來；天生的；內在的,2,進階,人力資源,adjective,"adjective: innate, more innate, most innate","innate ability 天生的能力
innate talent 天賦","The company values employees with an innate ability to lead and motivate others.
公司重視那些天生具備領導和激勵他人的能力的人員。"
